iter	Logloss
0	0.574301194
1	0.5093429451
2	0.4713033863
3	0.4404385787
4	0.4229618815
5	0.4117167108
6	0.3890862099
7	0.3829263076
8	0.3702674351
9	0.3542548668
10	0.345069126
11	0.3339675902
12	0.329513307
13	0.3231768271
14	0.3198199523
15	0.3172216208
16	0.3149920952
17	0.3123799072
18	0.3102349274
19	0.3083956768
20	0.3076100748
21	0.3040831474
22	0.2996514195
23	0.2989915707
24	0.2987561887
25	0.297111113
26	0.2950268779
27	0.2927128875
28	0.2918428091
29	0.2917484815
30	0.290112236
31	0.2886309783
32	0.2850970696
33	0.2808530543
34	0.2782492946
35	0.2765947048
36	0.2737617919
37	0.2725047793
38	0.2706785014
39	0.2694871455
40	0.2667406666
41	0.265482338
42	0.2618000014
43	0.258689067
44	0.257249554
45	0.2544352269
46	0.2535840912
47	0.2506743711
48	0.2482276677
49	0.2463283719
50	0.2454780751
51	0.2442650794
52	0.2424377394
53	0.2417342633
54	0.2403817599
55	0.2387553245
56	0.2383986858
57	0.2374276897
58	0.2363356313
59	0.2357942682
60	0.2354851863
61	0.2353472646
62	0.2345689425
63	0.2339369129
64	0.2334848949
65	0.2332026957
66	0.2326299013
67	0.2316515028
68	0.2301793998
69	0.2289636874
70	0.2276207666
71	0.2270163498
72	0.2262739799
73	0.2259847117
74	0.2254471332
75	0.2252068707
76	0.2245709049
77	0.2242562788
78	0.2236744159
79	0.2231141131
80	0.2225412238
81	0.2217002822
82	0.2209431318
83	0.2196768772
84	0.21931395
85	0.2183236207
86	0.2178775301
87	0.2177335823
88	0.2176084292
89	0.216822539
90	0.2166687479
91	0.2162725798
92	0.2162029153
93	0.2151705627
94	0.2149028521
95	0.2146988086
96	0.2146886912
97	0.2140532898
98	0.2134275753
99	0.2125087406
100	0.2118857436
101	0.2116636435
102	0.2116425707
103	0.2114739333
104	0.2114546873
105	0.2113635554
106	0.2108921825
107	0.2103894178
108	0.2098004312
109	0.2093052874
110	0.2087168648
111	0.2082658626
112	0.2081271186
113	0.2064152774
114	0.2062112357
115	0.2059882633
116	0.205876612
117	0.2055410211
118	0.2051939955
119	0.2049534369
120	0.2049433585
121	0.2046284714
122	0.2045452951
123	0.2044808057
124	0.2040122885
125	0.2037772365
126	0.203586014
127	0.2034889645
128	0.2034502911
129	0.203040591
130	0.202955536
131	0.202708149
132	0.2026672044
133	0.202183556
134	0.2019780502
135	0.2018244668
136	0.2016640031
137	0.2016536344
138	0.201005001
139	0.2008695076
140	0.2002728173
141	0.2000561992
142	0.1999774675
143	0.1998613348
144	0.1997199767
145	0.1994541516
146	0.199375155
147	0.1992104658
148	0.1989448358
149	0.1985935366
150	0.1983118447
151	0.1981673837
152	0.1980148894
153	0.1979387333
154	0.1973620625
155	0.1967475225
156	0.1966199713
157	0.1963229971
158	0.1961371859
159	0.1960133604
160	0.1957849456
161	0.1957292296
162	0.1953567755
163	0.1951486518
164	0.1950872168
165	0.1950537769
166	0.1949364249
167	0.1948074817
168	0.1947204954
169	0.1946278756
170	0.1943498261
171	0.1942657507
172	0.1941735582
173	0.1940405847
174	0.1939893541
175	0.193967446
176	0.1938199499
177	0.1935696306
178	0.1932929121
179	0.1931792769
180	0.192513736
181	0.1922978439
182	0.1920293398
183	0.1918307372
184	0.1916877135
185	0.1915653394
186	0.1914810005
187	0.1914521296
188	0.1914448985
189	0.1912891653
