iter	Passed	Remaining
0	7	1383
1	13	1247
2	17	1114
3	24	1141
4	30	1139
5	36	1111
6	42	1118
7	49	1121
8	55	1114
9	61	1112
10	68	1112
11	74	1107
12	80	1100
13	87	1103
14	94	1097
15	99	1084
16	105	1075
17	112	1073
18	117	1061
19	121	1036
20	128	1030
21	134	1026
22	140	1020
23	146	1011
24	150	990
25	155	983
26	161	975
27	168	972
28	173	965
29	179	957
30	185	951
31	191	945
32	197	940
33	203	932
34	209	926
35	215	920
36	221	914
37	227	908
38	233	904
39	239	898
40	245	893
41	251	887
42	257	881
43	263	875
44	270	872
45	277	868
46	284	864
47	290	858
48	296	853
49	303	849
50	309	844
51	315	838
52	322	834
53	328	828
54	335	823
55	342	818
56	348	812
57	354	806
58	360	800
59	367	795
60	373	789
61	379	783
62	386	778
63	393	773
64	399	768
65	405	761
66	411	754
67	417	749
68	423	743
69	429	736
70	435	730
71	441	723
72	447	717
73	453	711
74	459	705
75	465	698
76	471	691
77	477	685
78	482	678
79	489	672
80	496	667
81	502	661
82	508	655
83	514	649
84	520	642
85	526	636
86	532	629
87	537	623
88	543	616
89	549	610
90	554	603
91	560	596
92	565	589
93	571	583
94	577	577
95	582	570
96	588	563
97	594	557
98	600	551
99	606	546
100	612	539
101	618	533
102	623	526
103	629	520
104	634	513
105	640	507
106	646	501
107	652	495
108	658	489
109	663	482
110	669	476
111	675	470
112	681	464
113	686	457
114	693	452
115	698	445
116	704	439
117	710	433
118	716	427
119	721	421
120	727	414
121	732	408
122	739	402
123	744	396
124	751	390
125	756	384
126	762	378
127	768	372
128	773	365
129	779	359
130	785	353
131	791	347
132	796	341
133	802	335
134	808	329
135	814	323
136	819	317
137	825	310
138	831	305
139	836	298
140	843	293
141	848	286
142	854	280
143	860	274
144	866	268
145	871	262
146	878	256
147	883	250
148	889	244
149	895	238
150	901	232
151	908	227
152	914	221
153	919	214
154	925	209
155	931	202
156	937	197
157	943	191
158	949	185
159	955	179
160	961	173
161	967	167
162	973	161
163	979	155
164	986	149
165	991	143
166	998	137
167	1004	131
168	1011	125
169	1017	119
170	1023	113
171	1029	107
172	1035	101
173	1040	95
174	1046	89
175	1051	83
176	1056	77
177	1062	71
178	1069	65
179	1075	59
180	1081	53
181	1086	47
182	1092	41
183	1098	35
184	1104	29
185	1109	23
186	1115	17
187	1121	11
188	1126	5
189	1132	0
